energy,tempo,danceability,playlist_genre,liveness,valence,track_artist,time_signature,speechiness,track_popularity,track_album_name,playlist_name,track_name,track_album_release_date,instrumentalness,mode,key,duration_ms,playlist_subgenre,type,label_kaggle
0.668,90.969,0.646,pop,0.212,0.64,Mark Ambor,4.0,0.0282,82,Belong Together,Today's Top Hits,Belong Together,2024-02-16,0.0,1.0,2.0,148318.0,mainstream,audio_features,1
0.668,128.027,0.924,pop,0.0678,0.787,KAROL G,4.0,0.0469,93,Si Antes Te Hubiera Conocido,Today's Top Hits,Si Antes Te Hubiera Conocido,2024-06-21,0.000594,1.0,11.0,195824.0,mainstream,audio_features,1
0.454,159.982,0.689,pop,0.0707,0.912,Djo,4.0,0.0584,89,DECIDE,Today's Top Hits,End of Beginning,2022-09-16,0.00259,1.0,2.0,159246.0,mainstream,audio_features,1
0.386,192.004,0.504,pop,0.0961,0.281,"Taylor Swift, Post Malone",4.0,0.0308,84,THE TORTURED POETS DEPARTMENT,Today's Top Hits,Fortnight (feat. Post Malone),2024-04-18,1.53e-05,1.0,11.0,228965.0,mainstream,audio_features,1
0.681,155.079,0.56,pop,0.106,0.388,"Omar Courtz, De La Rose",4.0,0.244,89,PRIMERA MUSA,Today's Top Hits,Q U E V A S H A C E R H O Y ?,2024-09-20,0.0,0.0,6.0,223320.0,mainstream,audio_features,1
0.472,101.061,0.898,pop,0.141,0.214,Kendrick Lamar,4.0,0.0776,88,Not Like Us,Today's Top Hits,Not Like Us,2024-05-04,0.0,1.0,1.0,274192.0,mainstream,audio_features,1
0.711,146.921,0.487,pop,0.152,0.317,Jin,4.0,0.0322,85,Happy,Today's Top Hits,Running Wild,2024-11-15,0.0,1.0,8.0,151647.0,mainstream,audio_features,1
0.712,91.98,0.848,pop,0.106,0.692,"KAROL G, Feid, DFZM, Ovy On The Drums, J Balvin, Maluma, Ryan Castro, Blessd",4.0,0.0981,84,+57,Today's Top Hits,+57,2024-11-08,0.0,0.0,1.0,298131.0,mainstream,audio_features,1
0.645,114.933,0.882,pop,0.057,0.788,Ndotz,4.0,0.0601,87,Embrace It,Today's Top Hits,Embrace It,2024-08-23,4.13e-05,1.0,1.0,104419.0,mainstream,audio_features,1
0.872,184.115,0.466,pop,0.121,0.806,Linkin Park,4.0,0.0336,89,The Emptiness Machine,Today's Top Hits,The Emptiness Machine,2024-09-05,0.0,1.0,7.0,190428.0,mainstream,audio_features,1
0.756,116.034,0.66,pop,0.193,0.838,Jimin,4.0,0.032,92,MUSE,Today's Top Hits,Who,2024-07-19,0.0,0.0,0.0,170888.0,mainstream,audio_features,1
0.508,147.125,0.579,rock,0.0575,0.609,Eagles,4.0,0.027,81,Hotel California (2013 Remaster),Rock Classics,Hotel California - 2013 Remaster,1976-12-08,0.000494,1.0,2.0,391376.0,classic,audio_features,1
0.89,133.52,0.502,rock,0.217,0.259,AC/DC,4.0,0.0364,83,The Razors Edge,Rock Classics,Thunderstruck,1990-09-24,0.0117,1.0,4.0,292880.0,classic,audio_features,1
0.446,123.596,0.743,rock,0.337,0.278,The White Stripes,4.0,0.0683,82,Elephant,Rock Classics,Seven Nation Army,2003-04-01,0.118,0.0,4.0,232107.0,classic,audio_features,1
0.43,91.844,0.515,rock,0.129,0.104,Radiohead,4.0,0.0372,86,Pablo Honey,Rock Classics,Creep,1993-02-22,0.000133,1.0,7.0,238640.0,classic,audio_features,1
0.824,120.125,0.5,rock,0.0916,0.539,Nirvana,4.0,0.0388,76,Nevermind (Remastered),Rock Classics,Come As You Are,1991-09-26,0.00161,0.0,4.0,218920.0,classic,audio_features,1
0.767,96.483,0.592,rock,0.127,0.328,Red Hot Chili Peppers,4.0,0.027,81,Californication (Deluxe Edition),Rock Classics,Californication,1999-06-08,0.00165,0.0,9.0,329733.0,classic,audio_features,1
0.952,125.304,0.445,rock,0.112,0.624,Guns N' Roses,4.0,0.0522,84,Appetite For Destruction,Rock Classics,Sweet Child O' Mine,1987-07-21,0.0843,1.0,6.0,356067.0,classic,audio_features,1
0.795,158.691,0.464,rock,0.399,0.612,The Rolling Stones,4.0,0.0926,81,Aftermath,Rock Classics,"Paint It, Black",1966-04-15,0.00244,1.0,1.0,202267.0,classic,audio_features,1
0.492,120.151,0.828,rock,0.128,0.789,Fleetwood Mac,4.0,0.0276,84,Rumours (Super Deluxe),Rock Classics,Dreams - 2004 Remaster,1977-02-04,0.00428,1.0,0.0,257800.0,classic,audio_features,1
0.881,158.066,0.413,rock,0.0805,0.364,Foo Fighters,4.0,0.0367,81,The Colour And The Shape,Rock Classics,Everlong,1997-05-20,0.000308,0.0,11.0,250547.0,classic,audio_features,1
0.716,94.379,0.535,rock,0.659,0.901,Joan Jett & the Blackhearts,4.0,0.0431,77,I Love Rock 'N' Roll (Expanded Edition),Rock Classics,I Love Rock 'N Roll,1981-11-18,0.0,1.0,4.0,175173.0,classic,audio_features,1
0.322,93.503,0.475,rock,0.11,0.387,Kansas,4.0,0.0283,79,Point Of Know Return (Expanded Edition),Rock Classics,Dust in the Wind,1977,0.00056,1.0,7.0,206267.0,classic,audio_features,1
0.394,104.114,0.693,rock,0.247,0.721,Pink Floyd,4.0,0.0428,74,The Wall,Rock Classics,"Another Brick in the Wall, Pt. 2",1979-11-30,0.000694,1.0,0.0,238747.0,classic,audio_features,1
0.899,152.445,0.475,rock,0.14,0.603,Bon Jovi,4.0,0.0637,72,Bon Jovi,Rock Classics,Runaway,1984-01-23,1.91e-05,0.0,9.0,230667.0,classic,audio_features,1
0.943,85.064,0.442,rock,0.091,0.781,Green Day,4.0,0.0602,80,Dookie,Rock Classics,Basket Case,1994-02-01,8.71e-06,1.0,3.0,181533.0,classic,audio_features,1
0.345,84.581,0.559,rock,0.141,0.458,Red Hot Chili Peppers,4.0,0.0459,82,Blood Sugar Sex Magik (Deluxe Edition),Rock Classics,Under the Bridge,1991-09-24,0.000105,1.0,4.0,264307.0,classic,audio_features,1
0.814,147.193,0.673,rock,0.343,0.728,Billy Idol,4.0,0.0367,70,Billy Idol,Rock Classics,White Wedding - Pt. 1,1982-01-01,0.00293,1.0,9.0,252200.0,classic,audio_features,1
0.767,127.361,0.532,rock,0.39,0.755,AC/DC,4.0,0.0574,81,Back In Black,Rock Classics,You Shook Me All Night Long,1980-07-25,0.000513,1.0,7.0,210173.0,classic,audio_features,1
0.863,136.302,0.723,rock,0.128,0.931,The Rolling Stones,4.0,0.0338,76,Out Of Our Heads,Rock Classics,(I Can't Get No) Satisfaction - Mono Version,1965-07-30,0.0317,1.0,2.0,222813.0,classic,audio_features,1
0.449,100.456,0.486,rock,0.54,0.549,David Bowie,4.0,0.0267,76,The Rise and Fall of Ziggy Stardust and the Spiders from Mars (2012 Remaster),Rock Classics,Starman - 2012 Remaster,1972-06-06,2.23e-06,1.0,5.0,254293.0,classic,audio_features,1
0.902,89.74,0.412,rock,0.405,0.422,Led Zeppelin,4.0,0.405,72,Led Zeppelin II (1994 Remaster),Rock Classics,Whole Lotta Love - 1990 Remaster,1969-10-22,0.131,1.0,9.0,333893.0,classic,audio_features,1
0.722,103.886,0.55,rock,0.11,0.716,The Doors,4.0,0.0283,70,L.A. Woman,Rock Classics,Riders on the Storm,1971-04-19,0.0129,0.0,11.0,434720.0,classic,audio_features,1
0.944,105.338,0.394,rock,0.298,0.265,Pearl Jam,4.0,0.0761,77,Ten,Rock Classics,Even Flow,1991-08-27,4.54e-06,0.0,10.0,292581.0,classic,audio_features,1
0.952,122.093,0.398,rock,0.1,0.584,Bruce Springsteen,4.0,0.061,72,Born In The U.S.A.,Rock Classics,Born in the U.S.A.,1984-06-04,7.75e-05,1.0,4.0,278680.0,classic,audio_features,1
0.917,171.176,0.356,rock,0.406,0.518,The Verve,4.0,0.0479,79,Urban Hymns (Remastered 2016),Rock Classics,Bitter Sweet Symphony - Remastered 2016,1997-09-29,0.0,1.0,9.0,357267.0,classic,audio_features,1
0.589,124.634,0.455,rock,0.104,0.254,Guns N' Roses,4.0,0.0328,75,Use Your Illusion I,Rock Classics,Don't Cry (Original),1991-09-17,0.00358,1.0,11.0,283733.0,classic,audio_features,1
0.805,113.253,0.438,rock,0.0842,0.564,Jimi Hendrix,4.0,0.0624,72,Electric Ladyland,Rock Classics,All Along the Watchtower,1968-10-25,5.69e-05,1.0,8.0,240800.0,classic,audio_features,1
0.239,189.507,0.446,rock,0.0697,0.298,Phil Collins,4.0,0.0316,76,Face Value (Deluxe Editon),Rock Classics,In The Air Tonight - 2015 Remastered,1981-01-01,4.1e-06,1.0,0.0,336453.0,classic,audio_features,1
0.521,123.118,0.721,rock,0.127,0.942,Talking Heads,4.0,0.0613,76,Talking Heads '77 (Deluxe Version),Rock Classics,Psycho Killer - 2005 Remaster,1977-09-16,0.00545,1.0,2.0,261413.0,classic,audio_features,1
0.67,129.269,0.619,rock,0.331,0.777,Lenny Kravitz,4.0,0.0353,71,Are You Gonna Go My Way,Rock Classics,Are You Gonna Go My Way,1993-03-09,0.0109,0.0,11.0,211933.0,classic,audio_features,1
0.828,105.25,0.539,rock,0.154,0.562,Metallica,4.0,0.035,70,Master of Puppets (Remastered Deluxe Box Set),Rock Classics,Master of Puppets (Remastered),1986-03-03,0.421,0.0,4.0,515387.0,classic,audio_features,1
0.487,114.965,0.73,rock,0.0852,0.731,Fleetwood Mac,4.0,0.0303,79,Tango In the Night (Deluxe Edition),Rock Classics,Everywhere - 2017 Remaster,1987-04-13,0.01,1.0,4.0,226653.0,classic,audio_features,1
0.697,116.109,0.741,rock,0.133,0.774,Creedence Clearwater Revival,4.0,0.0277,84,Pendulum (Expanded Edition),Rock Classics,Have You Ever Seen The Rain,1970-12-07,2.28e-05,1.0,0.0,160133.0,classic,audio_features,1
0.579,127.215,0.62,rock,0.0858,0.691,The Cars,4.0,0.0473,69,The Cars,Rock Classics,Just What I Needed,1978-06-06,6.4e-05,1.0,4.0,225627.0,classic,audio_features,1
0.912,116.761,0.502,rock,0.106,0.72,Nirvana,4.0,0.0564,76,Nevermind (Remastered),Rock Classics,Smells Like Teen Spirit,1991-09-26,0.000173,1.0,1.0,301920.0,classic,audio_features,1
0.833,88.785,0.466,rock,0.0327,0.661,Rage Against The Machine,4.0,0.304,78,Rage Against The Machine - XX (20th Anniversary Special Edition),Rock Classics,Killing In The Name,1992,0.0,1.0,7.0,313573.0,classic,audio_features,1
0.376,164.775,0.53,rock,0.0926,0.188,The Beatles,4.0,0.04,75,Abbey Road (Remastered),Rock Classics,Come Together - Remastered 2009,1969-09-26,0.247,0.0,9.0,259947.0,classic,audio_features,1
0.786,126.755,0.482,rock,0.446,0.793,Kansas,4.0,0.032,73,Leftoverture (Expanded Edition),Rock Classics,Carry on Wayward Son,1976,8.88e-05,1.0,7.0,323000.0,classic,audio_features,1
0.789,129.802,0.674,rock,0.0753,0.918,Blur,4.0,0.0676,78,Blur (Special Edition),Rock Classics,Song 2 - 2012 Remaster,1997-02-10,0.00708,1.0,8.0,121160.0,classic,audio_features,1
0.441,81.334,0.519,rock,0.076,0.25,Pixies,4.0,0.0353,76,Surfer Rosa (2007 Remaster),Rock Classics,Where Is My Mind? - 2007 Remaster,1988-03-21,0.000453,1.0,4.0,234973.0,classic,audio_features,1
0.836,113.375,0.743,rock,0.384,0.82,The Clash,4.0,0.116,80,Combat Rock (Remastered),Rock Classics,Should I Stay or Should I Go - Remastered,1982,0.0,1.0,2.0,188987.0,classic,audio_features,1
0.528,109.975,0.932,rock,0.163,0.757,Queen,4.0,0.161,71,The Game (Deluxe Remastered Version),Rock Classics,Another One Bites The Dust - Remastered 2011,1980-06-27,0.329,0.0,5.0,214653.0,classic,audio_features,1
0.905,128.019,0.602,rock,0.117,0.411,Muse,4.0,0.0775,75,The Resistance,Rock Classics,Uprising,2009-09-10,0.064,1.0,2.0,304840.0,classic,audio_features,1
0.519,98.883,0.653,rock,0.101,0.822,Buffalo Springfield,4.0,0.0497,76,Buffalo Springfield,Rock Classics,For What It's Worth,1966-12-05,0.0209,1.0,2.0,153693.0,classic,audio_features,1
0.946,138.18,0.454,rock,0.173,0.647,Van Halen,4.0,0.13,68,Van Halen (Remastered),Rock Classics,You Really Got Me - 2015 Remaster,1978-02-10,0.0,0.0,1.0,156147.0,classic,audio_features,1
0.828,105.435,0.35,rock,0.0774,0.147,Soundgarden,4.0,0.041,76,Superunknown (Deluxe Edition),Rock Classics,Black Hole Sun,1994-03-09,0.000161,1.0,6.0,318587.0,classic,audio_features,1
0.349,124.348,0.489,rock,0.0866,0.622,Santana,4.0,0.0323,70,Santana's Greatest Hits,Rock Classics,Black Magic Woman - Single Version,1994-07-01,0.0789,0.0,2.0,196467.0,classic,audio_features,1
0.872,159.925,0.587,rock,0.622,0.735,Lenny Kravitz,4.0,0.0484,73,5,Rock Classics,Fly Away,1998-05-12,0.0,1.0,7.0,221333.0,classic,audio_features,1
0.808,151.008,0.577,rock,0.221,0.869,The Police,4.0,0.039,75,Reggatta De Blanc (Remastered 2003),Rock Classics,Message In A Bottle,1979-10-02,1.33e-05,0.0,1.0,290280.0,classic,audio_features,1
0.758,112.113,0.489,rock,0.092,0.435,David Bowie,4.0,0.0297,72,"""Heroes"" (2017 Remaster)",Rock Classics,Heroes - 2017 Remaster,1977,0.49,1.0,7.0,371413.0,classic,audio_features,1
0.932,112.937,0.564,rock,0.349,0.619,Led Zeppelin,4.0,0.0554,75,Led Zeppelin III (Remaster),Rock Classics,Immigrant Song - Remaster,1970,0.169,1.0,11.0,146250.0,classic,audio_features,1
0.338,177.765,0.388,rock,0.248,0.478,Electric Light Orchestra,4.0,0.0329,76,Out of the Blue,Rock Classics,Mr. Blue Sky,1977,3.73e-06,1.0,10.0,303373.0,classic,audio_features,1
0.7,188.386,0.31,rock,0.0828,0.763,AC/DC,4.0,0.047,83,Back In Black,Rock Classics,Back In Black,1980-07-25,0.00965,1.0,9.0,255493.0,classic,audio_features,1
0.691,137.145,0.548,rock,0.144,0.667,Heart,4.0,0.0369,74,Little Queen,Rock Classics,Barracuda,1977-05-14,0.106,0.0,4.0,261933.0,classic,audio_features,1
0.532,136.576,0.601,rock,0.0925,0.342,Elton John,4.0,0.0286,79,Honky Chateau,Rock Classics,"Rocket Man (I Think It's Going To Be A Long, Long Time)",1972-05-19,5.95e-06,1.0,10.0,281613.0,classic,audio_features,1
0.641,203.006,0.256,rock,0.0853,0.382,Nirvana,4.0,0.0552,79,In Utero (Deluxe Edition),Rock Classics,Heart-Shaped Box,1993-09-21,0.0329,1.0,1.0,281160.0,classic,audio_features,1
0.755,109.535,0.667,rock,0.0523,0.883,Eagles,4.0,0.069,68,Hotel California (2013 Remaster),Rock Classics,Life in the Fast Lane - 2013 Remaster,1976-12-08,6.94e-05,1.0,9.0,286220.0,classic,audio_features,1
0.373,92.718,0.671,rock,0.0481,0.732,TOTO,4.0,0.0323,83,Toto IV,Rock Classics,Africa,1982-04-08,8.01e-05,1.0,9.0,295893.0,classic,audio_features,1
0.927,141.466,0.333,rock,0.297,0.385,Blue Öyster Cult,4.0,0.0733,75,Agents Of Fortune,Rock Classics,(Don't Fear) The Reaper,1976,0.000208,0.0,9.0,308120.0,classic,audio_features,1
0.787,126.879,0.767,rock,0.0513,0.964,The Smashing Pumpkins,4.0,0.0331,77,Mellon Collie And The Infinite Sadness (Deluxe Edition),Rock Classics,1979 - Remastered 2012,1995,0.583,1.0,3.0,266200.0,classic,audio_features,1
0.366,127.163,0.472,rock,0.0837,0.171,Pink Floyd,4.0,0.0286,71,The Wall,Rock Classics,Comfortably Numb,1979-11-30,0.312,0.0,11.0,382297.0,classic,audio_features,1
0.864,81.394,0.437,rock,0.242,0.749,Led Zeppelin,4.0,0.0904,69,Led Zeppelin IV (Deluxe Edition),Rock Classics,Black Dog - Remaster,1971-11-08,0.0314,0.0,4.0,295387.0,classic,audio_features,1
0.584,170.411,0.509,rock,0.384,0.685,Queens of the Stone Age,4.0,0.057,69,Songs For The Deaf,Rock Classics,No One Knows,2002-01-01,9.96e-05,1.0,0.0,278747.0,classic,audio_features,1
0.912,117.399,0.575,rock,0.0562,0.843,The Doobie Brothers,4.0,0.0393,69,The Captain and Me,Rock Classics,Long Train Runnin',1973,0.00211,0.0,7.0,207267.0,classic,audio_features,1
0.611,85.387,0.654,rock,0.405,0.786,Beck,4.0,0.119,69,Mellow Gold,Rock Classics,Loser,1994-03-01,0.000178,1.0,2.0,235000.0,classic,audio_features,1
0.482,138.453,0.529,rock,0.0842,0.492,Don McLean,4.0,0.0599,74,American Pie,Rock Classics,American Pie,1971,0.0,0.0,4.0,516893.0,classic,audio_features,1
0.748,134.114,0.618,rock,0.0473,0.663,The Police,4.0,0.358,77,Outlandos D'Amour (Remastered 2003),Rock Classics,Roxanne,1978-11-02,4.1e-06,1.0,0.0,191947.0,classic,audio_features,1
0.7,147.245,0.586,rock,0.0318,0.897,The Knack,4.0,0.0363,69,Get The Knack,Rock Classics,My Sharona,1979-01-01,0.00125,1.0,0.0,295400.0,classic,audio_features,1
0.318,104.522,0.575,rock,0.0934,0.385,Lou Reed,4.0,0.109,74,Transformer,Rock Classics,Walk On the Wild Side,1972-12-01,0.000202,1.0,0.0,254173.0,classic,audio_features,1
0.706,80.823,0.445,rock,0.205,0.768,Thin Lizzy,4.0,0.0461,70,Jailbreak (Deluxe Edition),Rock Classics,The Boys Are Back In Town,1976,0.000252,1.0,8.0,266720.0,classic,audio_features,1
0.913,115.728,0.574,rock,0.156,0.423,AC/DC,4.0,0.133,84,Highway to Hell,Rock Classics,Highway to Hell,1979-07-27,0.00158,0.0,6.0,208400.0,classic,audio_features,1
0.495,124.936,0.532,rock,0.0754,0.308,Billy Joel,4.0,0.0343,79,The Stranger (Legacy Edition),Rock Classics,Vienna,1977,0.0,1.0,10.0,214240.0,classic,audio_features,1
0.875,75.009,0.284,rock,0.402,0.595,Pearl Jam,4.0,0.0422,73,Ten,Rock Classics,Alive,1991-08-27,0.000461,0.0,11.0,340907.0,classic,audio_features,1
0.737,103.867,0.662,rock,0.119,0.744,Tina Turner,4.0,0.0296,69,Foreign Affair,Rock Classics,The Best,1989-09-13,0.0191,1.0,0.0,329800.0,classic,audio_features,1
0.936,91.577,0.666,rock,0.153,0.776,Red Hot Chili Peppers,4.0,0.0476,72,Blood Sugar Sex Magik (Deluxe Edition),Rock Classics,Give It Away,1991-09-24,0.086,1.0,7.0,282907.0,classic,audio_features,1
0.432,94.605,0.475,rock,0.161,0.648,Green Day,4.0,0.0302,79,Nimrod,Rock Classics,Good Riddance (Time of Your Life),1997-10-14,0.0,1.0,7.0,153467.0,classic,audio_features,1
0.549,176.941,0.516,rock,0.184,0.907,Don Henley,4.0,0.0373,73,Building The Perfect Beast,Rock Classics,The Boys Of Summer,1984-11-19,0.00572,1.0,6.0,288733.0,classic,audio_features,1
0.751,89.839,0.421,rock,0.17,0.789,The Doors,4.0,0.0472,72,The Doors,Rock Classics,Break on Through (To the Other Side),1967-01-04,0.0,1.0,9.0,145867.0,classic,audio_features,1
0.938,168.131,0.324,rock,0.0961,0.543,Beastie Boys,4.0,0.102,71,Ill Communication,Rock Classics,Sabotage,1994-05-23,0.0321,0.0,6.0,178440.0,classic,audio_features,1
0.953,84.989,0.267,rock,0.283,0.568,Def Leppard,4.0,0.096,72,Hysteria (Super Deluxe),Rock Classics,Pour Some Sugar On Me - Remastered 2017,1987-08-03,0.0,0.0,1.0,267307.0,classic,audio_features,1
0.919,135.997,0.465,rock,0.262,0.537,Foo Fighters,4.0,0.0408,73,There Is Nothing Left To Lose,Rock Classics,Learn to Fly,1999-11-02,2.07e-05,1.0,4.0,235293.0,classic,audio_features,1
